date,match_score,recovery_score,training_score,LBES,risk_level,match_score_prev,recovery_score_prev,training_score_prev,LBES_3day_avg,LBES_5day_avg,recovery_3day_avg,training_3day_std,LBES_change,recovery_slope,risk_label
9/8/2023,36.67829411,51.91257148,63.18991098,51.28935709,Caution,28.55051783,46.6335571,65.36071958,49.70048138,50.53113193,51.22844682,1.25331693,3.5262049,-3.2266404,0
9/10/2023,22.41521652,50.45316959,63.18991098,46.49964315,High Risk,36.67829411,51.91257148,63.18991098,48.51738414,49.55011172,49.66643272,1.25331693,-4.78971394,3.81961249,1
9/11/2023,36.08015993,61.39248558,63.18991098,54.42788677,Caution,22.41521652,50.45316959,63.18991098,50.73896234,50.00579481,54.58607555,0,7.92824362,9.4799141,0
9/12/2023,33.35063883,59.35462506,63.18991098,52.89577926,Caution,36.08015993,61.39248558,63.18991098,51.27443639,50.57516369,57.06676008,0,-1.53210751,8.90145547,0
10/8/2023,43.683338,64.57783241,63.70919881,58.00546233,Acceptable,33.35063883,59.35462506,63.18991098,55.10970945,52.62362572,61.77498102,0.299810968,5.10968307,3.18534683,0
10/10/2023,31.6668287,63.76006113,64.17655786,54.27786526,Caution,43.683338,64.57783241,63.70919881,55.05970228,53.22132735,62.56417287,0.493551145,-3.72759707,4.40543607,0
10/11/2023,27.06797345,54.88254545,64.17655786,49.79107819,High Risk,31.6668287,63.76006113,64.17655786,54.02480193,53.87961436,61.07347966,0.269829873,-4.48678707,-9.69528696,1
11/8/2023,30.59767746,46.88009701,63.32613974,47.7514861,High Risk,27.06797345,54.88254545,64.17655786,50.60680985,52.54433423,55.17423453,0.490989131,-2.03959209,-16.87996412,1
11/9/2023,31.97862362,87.03557467,63.4239277,62.25441292,Optimal,30.59767746,46.88009701,63.32613974,53.26565907,54.41606096,62.93273904,0.465336012,14.50292682,32.15302922,0
11/10/2023,36.92418074,54.88254545,63.31602374,52.44675344,Caution,31.97862362,87.03557467,63.4239277,54.15088415,53.30431918,62.93273904,0.059593181,-9.80765948,8.00244844,0
11/11/2023,31.0242025,51.40105603,63.31602374,49.45823867,High Risk,36.92418074,54.88254545,63.31602374,54.71980168,52.34039386,64.43972538,0.06229838,-2.98851477,-35.63451864,1
12/8/2023,25.99167391,39.80654986,63.1103318,43.81841075,High Risk,31.0242025,51.40105603,63.31602374,48.57446762,51.14586038,48.69671711,0.118756297,-5.63982792,-15.07599559,1
12/9/2023,49.69074238,69.05995059,63.1103318,61.16682155,Optimal,25.99167391,39.80654986,63.1103318,51.48115699,53.82892747,53.42251883,0.118756297,17.3484108,17.65889456,0
12/10/2023,43.82941911,55.27768445,63.1103318,54.58463142,Caution,49.69074238,69.05995059,63.1103318,53.18995457,52.29497117,54.7147283,0,-6.58219013,15.47113459,0
12/12/2023,50.88318843,51.29274396,63.05300782,55.28596965,Acceptable,43.82941911,55.27768445,63.1103318,57.01247421,52.86281441,58.54345967,0.033096015,0.70133823,-17.76720663,0
1/3/2024,36.76164864,57.40423435,63.4340437,53.32189191,Caution,50.88318843,51.29274396,63.05300782,54.39749766,53.63554506,54.65822092,0.205452255,-1.96407774,2.1265499,0
1/4/2024,34.51268356,39.0818735,63.4340437,46.23437609,High Risk,36.76164864,57.40423435,63.4340437,51.61407922,54.11873812,49.25961727,0.219991168,-7.08751582,-12.21087046,1
1/5/2024,38.3623414,42.35563046,63.4340437,48.53508837,High Risk,34.51268356,39.0818735,63.4340437,49.36378546,51.59239149,46.28057944,0,2.30071228,-15.04860389,1
1/8/2024,41.94207455,40.09098804,64.01402752,49.01937781,High Risk,38.3623414,42.35563046,63.4340437,47.92961409,50.47934077,40.50949733,0.334853815,0.48428944,1.00911454,1
1/10/2024,40.12844294,56.19442507,64.0477475,54.12329328,Caution,41.94207455,40.09098804,64.01402752,50.55925315,50.24680549,46.21368119,0.34500015,5.10391547,13.83879461,0
1/11/2024,38.27095281,50.70168524,64.04100351,51.6412269,Caution,40.12844294,56.19442507,64.0477475,51.59463266,49.91067249,48.99569945,0.017842937,-2.48206638,10.6106972,0
2/1/2024,47.56777369,43.92972385,65.10655517,52.43302976,Caution,38.27095281,50.70168524,64.04100351,52.73251665,51.15040322,50.27527805,0.613258986,0.79180286,-12.26470122,0
2/2/2024,37.61904225,40.49607565,65.24817912,48.29620184,High Risk,47.56777369,43.92972385,65.10655517,50.79015283,51.10262592,45.04249491,0.659890223,-4.13682792,-10.20560959,1
2/4/2024,40.38497866,55.10299903,65.24817912,54.23840595,Caution,37.61904225,40.49607565,65.24817912,51.65587918,52.14643155,46.50959951,0.081766626,5.94220411,11.17327518,0
2/8/2024,33.67669884,58.30324054,65.19422714,53.32712334,Caution,40.38497866,55.10299903,65.24817912,51.95391038,51.98719756,51.30077174,0.03114919,-0.91128261,17.80716489,0
2/10/2024,37.63739581,55.25255676,64.78621527,53.30478895,Caution,33.67669884,58.30324054,65.19422714,53.62343941,52.31990997,56.21959878,0.252585002,-0.02233439,0.14955773,0
2/11/2024,34.87213771,51.79892924,64.78621527,51.26644189,Caution,37.63739581,55.25255676,64.78621527,52.63278473,52.08659239,55.11824218,0.235565763,-2.03834706,-6.5043113,0
2/12/2024,30.50698178,50.02686209,64.78621527,49.33667161,High Risk,34.87213771,51.79892924,64.78621527,51.30263415,52.29468635,52.35944936,0,-1.92977028,-5.22569467,1
3/1/2024,58.45938766,45.05423994,64.54343135,55.89700125,Acceptable,30.50698178,50.02686209,64.78621527,52.16670492,52.62640541,48.96001042,0.140171362,6.56032964,-6.7446893,0
3/2/2024,35.6323458,51.84691325,64.54343135,51.42632435,Caution,58.45938766,45.05423994,64.54343135,52.21999907,52.24624561,48.97600509,0.140171362,-4.4706769,1.82005116,0
3/4/2024,40.38362676,52.32125362,64.53331535,53.01418716,Caution,35.6323458,51.84691325,64.54343135,53.44583759,52.18812525,49.74080227,0.005840475,1.58786281,7.26701368,0
3/5/2024,29.66633364,38.78498781,64.53331535,45.0613062,High Risk,40.38362676,52.32125362,64.53331535,49.83393924,50.94709811,47.65105156,0.005840475,-7.95288096,-13.06192544,1
3/8/2024,60.58304897,56.10950485,64.46587537,60.37629777,Optimal,29.66633364,38.78498781,64.53331535,52.81726371,53.15502335,49.07191543,0.038936491,15.31499157,3.78825123,0
3/9/2024,37.75888131,46.30913044,64.46587537,50.09891643,Caution,60.58304897,56.10950485,64.46587537,51.8455068,51.99540638,47.06787437,0.038936491,-10.27738134,7.52414263,0
3/12/2024,33.23137977,58.58049246,64.46587537,53.03564267,Caution,37.75888131,46.30913044,64.46587537,54.50361896,52.31727005,53.66637592,0,2.93672624,2.47098761,0
4/1/2024,31.17805112,57.34659729,64.41192339,51.96889757,Caution,33.23137977,58.58049246,64.46587537,51.70115222,52.10821213,54.07874006,0.03114919,-1.0667451,11.03746685,0
4/4/2024,67.91193254,42.17659933,64.32087942,57.64769732,Acceptable,31.17805112,57.34659729,64.41192339,54.21741252,54.62549035,52.70122969,0.07328443,5.67879975,-16.40389313,0
4/5/2024,36.33087879,52.68477593,64.32425142,51.85242321,Caution,67.91193254,42.17659933,64.32087942,53.82300603,52.92071544,50.73599085,0.05161839,-5.79527411,-4.66182136,0
4/8/2024,31.7769762,43.10640581,64.31413542,47.13028229,High Risk,36.33087879,52.68477593,64.32425142,52.21013427,52.32698861,45.98926036,0.005150815,-4.72214092,0.92980648,1
4/9/2024,36.04058289,47.49583155,64.31413542,49.94566331,High Risk,31.7769762,43.10640581,64.31413542,49.6427896,51.70899274,47.76233776,0.005840475,2.81538102,-5.18894438,1
4/10/2024,36.10860692,50.42806755,64.44901538,51.0395611,Caution,36.04058289,47.49583155,64.31413542,49.37183557,51.52312545,47.01010164,0.077872981,1.09389779,7.32166174,0
4/12/2024,47.71161376,49.3947639,64.31413542,54.11159889,Caution,36.10860692,50.42806755,64.44901538,51.6989411,50.81590576,49.106221,0.077872981,3.07203779,1.89893235,0
5/1/2024,37.40144871,54.94296113,64.3714594,52.9804818,Caution,47.71161376,49.3947639,64.31413542,52.71054726,51.04151748,51.58859753,0.067692408,-1.13111709,4.51489358,0
5/2/2024,30.43704703,36.88893543,64.3714594,44.5722523,High Risk,37.40144871,54.94296113,64.3714594,50.55477766,50.52991148,47.07555349,0.033096015,-8.4082295,-12.50582847,1
5/3/2024,36.50519265,45.57816318,64.3714594,49.4339257,High Risk,30.43704703,36.88893543,64.3714594,48.99555327,50.42756396,45.80335325,0,4.8616734,-9.36479795,1
5/4/2024,37.93102641,41.93841764,64.3714594,48.58776489,High Risk,36.50519265,45.57816318,64.3714594,47.5313143,49.93720472,41.46850542,0,-0.84616081,5.04948221,1
5/8/2024,33.41823903,46.78446898,63.79484759,48.72823251,High Risk,37.93102641,41.93841764,64.3714594,48.91664103,48.86053144,44.7670166,0.332906984,0.14046762,1.2063058,1
5/9/2024,30.59151685,51.25606488,63.79484759,49.44527442,High Risk,33.41823903,46.78446898,63.79484759,48.92042394,48.15348996,46.6596505,0.332906984,0.71704191,9.31764724,1
5/10/2024,24.2261932,60.88363202,63.82856757,50.91712782,Caution,30.59151685,51.25606488,63.79484759,49.69687825,49.42246507,52.97472196,0.01946824,1.4718534,14.09916304,0
5/11/2024,29.19003088,34.57156393,63.82856757,43.19705529,High Risk,24.2261932,60.88363202,63.82856757,47.85315251,48.17509099,48.90375361,0.01946824,-7.72007253,-16.68450095,1
6/1/2024,78.3688008,56.86310395,63.27218775,65.55799234,Optimal,29.19003088,34.57156393,63.82856757,53.22405848,51.56913648,50.77276663,0.321226039,22.36093705,-4.02052807,0
6/2/2024,23.662713,47.80957937,63.27218775,45.97743239,High Risk,78.3688008,56.86310395,63.27218775,51.57749334,51.01897645,46.41474908,0.321226039,-19.58055995,13.23801544,1
6/3/2024,47.10979212,47.70282375,63.27218775,52.97419166,Caution,23.662713,47.80957937,63.27218775,54.8365388,51.7247599,50.79183569,0,6.99675927,-9.1602802,0
6/4/2024,32.54182071,48.38906999,63.27218775,48.84398642,High Risk,47.10979212,47.70282375,63.27218775,49.26520349,51.31013162,47.9671577,0,-4.13020524,0.57949062,1
6/8/2024,84.6891638,54.31218364,63.27218775,66.56127913,Optimal,32.54182071,48.38906999,63.27218775,56.12648574,55.98297639,50.13469246,0,17.71729271,6.60935989,0
6/11/2024,30.46931857,54.65439324,63.67008363,50.55436247,Caution,84.6891638,54.31218364,63.27218775,55.31987601,52.98225041,52.45188229,0.229725293,-16.00691666,6.26532325,0
6/12/2024,41.8986994,50.27279493,63.67008363,52.44961732,Caution,30.46931857,54.65439324,63.67008363,56.52175297,54.2766874,53.0797906,0.229725293,1.89525485,-4.03938871,0
7/1/2024,28.08433596,45.20059402,57.34136042,44.31498484,High Risk,41.8986994,50.27279493,63.67008363,49.10632154,52.54484604,50.04259406,3.653890049,-8.13463248,-9.45379922,1
7/3/2024,37.26019554,57.4516415,56.91052271,51.20481614,Caution,28.08433596,45.20059402,57.34136042,49.32313943,53.01701198,50.97501015,3.784398288,6.8898313,7.17884657,0
7/5/2024,45.11391088,48.42016907,56.87628395,50.38793182,Caution,37.26019554,57.4516415,56.91052271,48.63591093,49.78234252,50.3574682,0.259194119,-0.81688432,3.21957505,0
7/12/2024,41.5365839,57.86191998,65.5871947,55.66816531,Acceptable,45.11391088,48.42016907,56.87628395,52.42030442,50.80510309,54.57791018,5.019391982,5.28023349,0.41027848,0
8/1/2024,33.84885071,53.64796337,61.37487636,50.41264912,Caution,41.5365839,57.86191998,65.5871947,52.15624875,50.39770945,53.31001747,4.35623931,-5.25551619,5.2277943,0
8/5/2024,44.38180952,50.2610423,61.37487636,52.38711439,Caution,33.84885071,53.64796337,61.37487636,52.82264294,52.01213536,53.92364188,2.431983128,1.97446527,-7.60087768,0
8/10/2024,34.35730582,31.78081565,61.27596439,42.87706476,High Risk,44.38180952,50.2610423,61.37487636,48.55894276,50.34658508,45.22994044,0.057106853,-9.51004963,-21.86714772,1
8/11/2024,41.06812833,46.7693599,61.27596439,50.136302,Caution,34.35730582,31.78081565,61.27596439,48.46682705,50.29625912,42.93707262,0.057106853,7.25923724,-3.4916824,0
9/2/2024,26.05161857,49.67673876,63.61028684,47.46594453,High Risk,41.06812833,46.7693599,61.27596439,46.8264371,48.65581496,42.74230477,1.347721695,-2.67035747,17.89592311,1
9/3/2024,34.97644474,57.20383624,63.25173096,52.65238194,Caution,26.05161857,49.67673876,63.61028684,50.08487616,49.10376152,51.21664497,1.257065177,5.18643741,10.43447634,0
9/5/2024,38.97473419,44.77396674,63.98862512,49.75932741,High Risk,34.97644474,57.20383624,63.25173096,49.95921796,48.57820413,50.55151391,0.368491333,-2.89305453,-4.90277202,1
9/8/2024,42.18821601,53.73645919,63.89960435,53.82908704,Caution,38.97473419,44.77396674,63.98862512,52.08026546,50.76860858,51.90475406,0.402218355,4.06975963,-3.46737705,0
9/9/2024,46.73609842,46.89125738,64.25568744,52.92226021,Caution,42.18821601,53.73645919,63.89960435,52.17022489,51.32580023,48.46722777,0.185311516,-0.90682683,2.11729064,0
9/10/2024,38.15405721,39.19775126,64.21612265,47.64107303,High Risk,46.73609842,46.89125738,64.25568744,51.46414009,51.36082593,46.60848928,0.195168463,-5.28118718,-14.53870793,1
9/11/2024,35.71711722,54.24336061,64.21612265,52.17595431,Caution,38.15405721,39.19775126,64.21612265,50.91309585,51.2655404,46.77745642,0.022842742,4.53488128,7.35210323,0
10/2/2024,28.89484162,56.02121994,64.51533136,50.85624544,Caution,35.71711722,54.24336061,64.21612265,50.22442426,51.48492401,49.82077727,0.172748229,-1.31970887,16.82346868,0
10/3/2024,23.92356216,65.30870515,64.51533136,52.61548143,Caution,28.89484162,56.02121994,64.51533136,51.88256039,51.24220288,58.52442857,0.172748229,1.75923599,11.06534454,0
10/4/2024,30.27693083,45.41125514,64.51533136,47.55738452,High Risk,23.92356216,65.30870515,64.51533136,50.34303713,50.16922775,55.58039341,0,-5.05809691,-10.6099648,1
10/5/2024,37.56681891,48.90064752,64.51533136,50.96563828,Caution,30.27693083,45.41125514,64.51533136,50.37950141,50.8341408,53.20686927,0,3.40825376,-16.40805763,0
10/8/2024,41.656294,50.35811315,64.33234421,52.63854828,Caution,37.56681891,48.90064752,64.51533136,50.38719036,50.92665959,48.2233386,0.10564768,1.67291,4.94685801,0
10/9/2024,52.77030741,53.28562285,64.27794263,56.97834014,Acceptable,41.656294,50.35811315,64.33234421,53.5275089,52.15107853,50.84812784,0.124363203,4.33979186,4.38497533,0
10/10/2024,57.80600101,58.41299246,64.27794263,60.28362758,Optimal,52.77030741,53.28562285,64.27794263,56.63350533,53.68470776,54.01890949,0.031408767,3.30528744,8.05487931,0
11/1/2024,42.81140377,45.08426233,63.93175074,50.99902571,Caution,57.80600101,58.41299246,64.27794263,56.08699781,54.373036,52.26095921,0.199873981,-9.28460187,-8.20136052,0
11/2/2024,31.08668526,57.452202,63.93175074,51.81038904,Caution,42.81140377,45.08426233,63.93175074,54.36434744,54.54198615,53.64981893,0.199873981,0.81136333,-0.96079046,0
11/4/2024,46.43165535,50.81978299,64.03066271,54.1271526,Caution,31.08668526,57.452202,63.93175074,52.31218912,54.83970701,51.11874911,0.057106853,2.31676356,5.73552066,0
11/12/2024,32.4912202,43.45177835,64.63897132,47.57912844,High Risk,46.43165535,50.81978299,64.03066271,51.17222336,52.95986467,50.57458778,0.382967338,-6.54802416,-14.00042365,1
12/1/2024,30.99418071,48.91684509,65.65034619,49.39677116,High Risk,32.4912202,43.45177835,64.63897132,50.36768407,50.78249339,47.72946881,0.818157795,1.81764272,-1.9029379,1
12/4/2024,74.75722453,41.1760745,64.5284681,59.42375727,Acceptable,30.99418071,48.91684509,65.65034619,52.13321896,52.4674397,44.51489931,0.618290727,10.02698611,-2.27570385,0
12/9/2024,44.00737972,57.03164947,64.5331046,55.74987784,Acceptable,74.75722453,41.1760745,64.5284681,54.85680209,53.25533746,49.04152302,0.646382332,-3.67387943,8.11480438,0
12/12/2024,53.95795442,54.44960215,64.57019659,57.84431588,Acceptable,44.00737972,57.03164947,64.5331046,57.67265033,53.99877012,50.88577537,0.022871306,2.09443804,13.27352765,0
1/2/2025,43.87358337,49.81070663,64.01381677,53.0006582,Caution,53.95795442,54.44960215,64.57019659,55.53161731,55.08307607,53.76398608,0.311071849,-4.84365768,-7.22094284,0
1/3/2025,0,49.3947639,64.11581973,39.72870427,High Risk,43.87358337,49.81070663,64.01381677,50.19122612,53.14946269,51.21835756,0.296204164,-13.27195393,-5.05483825,1
2/1/2025,33.91885927,50.31471731,66.13037834,50.93144126,Caution,0,49.3947639,64.11581973,47.88693458,51.45099949,49.84006261,1.193641758,11.20273699,0.50401068,0
2/2/2025,33.97261762,47.96317242,66.13037834,50.12452805,Caution,33.91885927,50.31471731,66.13037834,46.92822453,50.32592953,49.22421788,1.163105956,-0.80691321,-1.43159148,0
3/1/2025,45.12241748,51.42909349,66.65662092,54.86672529,Caution,33.97261762,47.96317242,66.13037834,51.97423153,49.73041141,49.90232774,0.303826295,4.74219724,1.11437618,0
3/3/2025,44.21923522,50.66416276,66.65662092,54.32804486,Caution,45.12241748,51.42909349,66.65662092,53.10643273,49.99588875,50.01880956,0.303826295,-0.53868043,2.70099034,0
